song_id,dominant_cluster,cluster_0_%,cluster_1_%,cluster_2_%,text_preview
209,0,60.5,23.8,15.6,йоу_йоу пиздатый кататься лексус москва лас-вегас писать новый песня быть...
210,2,39.4,12.8,47.7,притягивать компьютер байт ноль эфир пузырь немного порох вмазывать туалет...
211,1,27.9,36.8,35.3,магистр хип_хап девушка сегодня сделать минуть деньги москва юго-восток раздеваться...
212,0,59.8,27.2,13.0,йоу нигатив йоу лысый йоу техник йоу борода джимми эскобары...
213,1,30.1,41.2,28.7,малафья течь ус парень малафья течь усик эльдар предлагать вступать...
214,0,34.8,34.1,31.1,давать уебывать россия русский москва москвич давать уебывать смотреть фокус...
215,0,46.7,10.2,43.1,миша здравствовать привет настя кстати скоро пускать статья посадить мусор...
216,0,48.4,29.6,22.0,хотеть сейчас пара часик оставаться трусы глиномес папа лень принимать...
217,2,18.5,30.8,50.8,злодеяние потрясать бессмысленный жестокость преступать общечеловеческий закон преступный мир смысл...
218,1,9.2,80.5,10.3,говорить_жизнь хардкор_говорить жизнь_хардкор хардкор_хардкор хардкор каркать_ворон застревать конча горло контролировать_поставка...
219,1,33.8,46.8,19.3,исламский пост христианский крест пропадать огромный порез унылый сердце слушать...
220,0,37.6,32.7,29.7,буренка быдлоконик тачка делать короче точка нога сводить лодка поплыть...
221,0,44.8,29.9,25.4,мэд брать держава обидно опять плюха проходить год эфир быть...
222,0,78.3,4.3,17.4,приготавливаться садиться удобно закрывать_глаз начинать сеанс несколько быть отличаться быть...
223,0,36.4,27.1,36.4,посвящаться тухлый рэппер трахаться лето делать нехуй кокс белый дуть...
224,2,37.3,23.3,39.3,блев минус блев читка морать блев бросать русский раритет поселок...
225,1,28.7,45.9,25.4,паша_техник сказать писать хуйня блять блять слабый блять умственный очень...
226,2,23.9,29.1,47.0,июль суббота москва клуб большой концерт хороший трек день_рождение паша...
227,1,28.8,41.1,30.1,можно взять пемза нога потирать лекарить пися полина пятилитровый канистра...
228,0,58.2,31.2,10.6,хотеть мегадоооз передоооз очень очень очень_много доооз очень очень очень_много...
229,0,66.2,14.5,19.3,гавно слово второй раунд андеграунд отбирать выбывать рыло ебать риль...
230,0,59.3,15.4,25.4,очень хотеть входить писечка сзади метр есть щи быть настоящий...
